REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,PRIZ_P,C2_5
2228,40,23047820,1027800000470,2228,044106770,9/1/2013,"ЗАО АКБ ""Констанс-Банк""","190000, Санкт-Петербург, ул. Большая Морская, д.55, литера ""А""",1,31
2232,82,25093617,1020500001059,2232,048209750,9/1/2013,"АКБ ""Адам Интернэшнл"" ОАО.","367002, Республика Дагестан, г. Махачкала, ул. М. Ярагского, 15 ""а""",1,21
2241,45,22316525,1027739328440,2241,044585416,9/1/2013,КИВИ Банк (ЗАО),"107031, г. Москва, Петровский переулок, д. 10, стр. 2",1,31
2244,52,23807805,1025500000635,2244,045279786,9/1/2013,"ЗАО КБ ""Мираф-Банк""","644043, город Омск, улица Фрунзе, дом 54",1,31
2245,45,17520519,1027739019373,2245,044583469,9/1/2013,"ОАО КБ ""КОСМОС""","123317,  г. Москва, Красногвардейский бульвар, д.7, стр.1",1,22
2248,45,32981436,1037700221635,2248,044585164,9/1/2013,"КБ ""ЭНЕРГОПРОМБАНК"" (ООО)","129090, г. Москва, Грохольский пер., д. 30 корп. 1",1,31
2249,91,24446255,1020900001902,2249,049133834,9/1/2013,"ЗАО ""Народный банк""","369000, Карачаево-Черкесская республика, г. Черкесск, улица Умара Алиева, дом 31а",1,22
2252,45,09316868,1027739463300,2252,044583131,9/1/2013,"АКБ ""ТЕНДЕР-БАНК"" (ЗАО)","125047,  г. Москва, ул. Гашека, д.2, стр.1",1,22
2253,45,17519611,1027739043628,2253,044583888,9/1/2013,"КБ ""ВЕТБ"" ЗАО","127287, г. Москва, ул. 2-ая Хуторская, д. 38 А, строение 25",1,23
2254,45,17515168,1077711000014,2254,044583625,9/1/2013,"Банк ""Кузнецкий мост"" ОАО","115054,  г. Москва, ул. Малая Пионерская, д. 37, стр.1",1,22
2258,45,17515524,1027739075407,2258,044585500,9/1/2013,"АКБ ""Мострансбанк"" ОАО","111033, г. Москва, ул. Волочаевская, д. 9, стр. 9",1,22
2264,14,22309962,1023100000406,2264,041403747,9/1/2013,"ОАО ""Северинвестбанк""","308004, Белгородская область, г. Белгород, ул. Щорса, дом 51",1,22
2267,82,25091239,1020500001103,2267,048209755,9/1/2013,"ОАО АКБ ""ЭЛЬБИН""","367025, Республика Дагестан, г. Махачкала, ул. Батырая, д.56",1,31
2269,45,17529377,1027739047181,2269,044525424,9/1/2013,"КБ ""Альта-Банк"" (ЗАО)","125047, г. Москва, ул. 2-ая Брестская, д. 30",1,22
2270,45,17531233,1027739495420,2270,044585293,9/1/2013,"ОАО ""ОФК Банк""","109240, г. Москва, ул. Николоямская, д. 7/8",1,31
2271,24,26482634,1023700007407,2271,042406738,9/1/2013,"АКБ ""Кранбанк"" (ЗАО)","153000, г.Иваново, пр.Шереметевский, д.53",1,27
2272,45,17522116,1027739460737,2272,044525256,9/1/2013,"ОАО АКБ ""РОСБАНК""","107078,  г. Москва, ул. Маши Порываевой, д. 34",1,22
2273,45,17516446,1027739564786,2273,044579447,9/1/2013,"ООО КБ ""Банк БФТ""","115184, г. Москва, Руновский пер., д. 6, стр. 2",1,31
2275,45,32020814,1020280000190,2275,044525787,9/1/2013,"ОАО ""УРАЛСИБ""","119048, г. Москва, ул. Ефремова, 8",1,22
2285,60,24185062,1026103273382,2285,046015761,9/1/2013,"ОАО РАКБ ""Донхлеббанк""","344082, г. Ростов-на-Дону, ул. Шаумяна, 36А",1,27
2299,45,17526516,1027739224160,2299,044585742,9/1/2013,"АКБ ""ВЕК"" (ЗАО)","123242,  г. Москва, ул.Малая Грузинская, д.10 стр.1",1,22
2302,45,17526309,1027739055530,2302,044585288,9/1/2013,"КБ ""Совинком"" ООО","107076,  г. Москва, ул.Атарбекова, д.4 б",1,27
2304,40,27456165,1027800000315,2304,044030877,9/1/2013,"Банк ""Таврический"" (ОАО)","191123 Санкт-Петербург, ул. Радищева, 39",1,31
2306,45,17527415,1027700024560,2306,044525976,9/1/2013,"АКБ ""Абсолют Банк"" (ОАО)","127051,  г. Москва, Цветной бульвар, д. 18",1,31
2307,45,17534194,1027739447922,2307,044585122,9/1/2013,"АКБ ""СОЮЗ"" (ОАО)","127055, г. Москва, ул. Сущевская, д. 27, стр. 1",1,22
2309,45,17537626,1027739857551,2309,044525213,9/1/2013,"АКБ ""БАНК КИТАЯ (ЭЛОС)""","129110,  г. Москва, Проспект Мира, д.72",1,22
2312,45,17525770,1037739527077,2312,044583266,9/1/2013,"АКБ ""РОССИЙСКИЙ КАПИТАЛ"" (ОАО)","121069,  г. Москва, ул.Большая Молчановка, д.21а",1,31
2313,45,17530475,1027739081930,2313,044525294,9/1/2013,"ОАО АКБ ""РУССОБАНК""","119121,  г. Москва, ул.Плющиха, д.10, стр.1",1,22
2316,36,21182608,1026300002244,2316,043601863,9/1/2013,"ЗАО АКБ ""ГАЗБАНК""","443100, г.Самара, ул.Молодогвардейская, д.224",1,31
2324,45,17532103,1027739042891,2324,044583932,9/1/2013,"Банк ""Клиентский"" (ОАО)","119526, г. Москва, проспект Вернадского, 97, корп. 3",1,31
2328,45,17526841,1037739768220,2328,044525592,9/1/2013,"ООО КБ ""ОГНИ МОСКВЫ""","105066,  г. Москва, ул.Новая Басманная, д.27",1,27
2330,45,17527912,1027739611151,2330,044599988,9/1/2013,"""Конгресс-Банк"" ОАО","129090, г. Москва, ул. Троицкая, д. 7, стр. 4",1,22
2337,01,27089962,1022200525786,2337,040173754,9/1/2013,"АКБ ""Зернобанк"" (ЗАО)","656056, Алтайский край, г.Барнаул, ул.Анатолия, 6",1,22
2347,45,17529288,1027739881091,2347,044585931,9/1/2013,"ООО КБ ""ПЛАТИНА""","123610,  г. Москва, Краснопресненская наб., дом 12",1,22
2364,75,32542275,1027400001166,2364,047501751,9/1/2013,"БАНК ""РЕЗЕРВ"" (ОАО)","454091, г.Челябинск, ул.Труда, д.64 ""А""",1,27
2368,45,20921624,1026000001796,2368,044579768,9/1/2013,"Инвестиционный Банк ""ВЕСТА"" (ООО)","119071, г. Москва, Ленинский проспект, д. 15А",1,22
2374,45,17529808,1027739461694,2374,044585124,9/1/2013,"ОАО ""НДБ""","115054, г. Москва, ул. Дубининская, д. 57, стр. 1",1,23
2377,80,27297123,1060200012685,2377,048073891,9/1/2013,"ОАО ""ИнвестКапиталБанк""","450077,  Российская Федерация, Республика Башкортостан, город Уфа, улица Достоевского, дом 100, корпус 1",1,31
2382,70,24718469,1027100000080,2382,047003729,9/1/2013,"ОАО БАНК ""ТУЛЬСКИЙ ПРОМЫШЛЕННИК""","300028, Тульская область, г.Тула, ул. Смидович, 18-б",1,27
2388,01,27068718,1022200526446,2388,040173725,9/1/2013,"АКБ ""АлтайБизнес-Банк"" (ОАО)","656049, г. Барнаул, просп. Ленина, 43",1,27
2390,64,27594329,1026500002286,2390,046401772,9/1/2013,"Банк ""ИТУРУП"" (ООО)","693000, Сахалинская область, г. Южно-Сахалинск, Коммунистический проспект, 32",1,22
2398,19,26781450,1022900001772,2398,041909769,9/1/2013,"Банк ""Северный Кредит"" (ОАО)","160000, Вологодская область, г. Вологда, ул. Герцена, д. 27",1,27
2401,45,27311900,1097711000034,2401,044585402,9/1/2013,"ОАО Банк ""Народный кредит""","127006, г. Москва, ул. Долгоруковская, д. 9",1,31
2402,45,09610839,1027700565970,2402,044525204,9/1/2013,"ОАО АКБ ""ЕВРОФИНАНС МОСНАРБАНК""","121099,  г. Москва, ул. Новый Арбат, 29",1,22
2403,45,04879035,1027739137843,2403,044525226,9/1/2013,"АБ ""ГПБ-Ипотека"" (ОАО)","115446,  г. Москва, Коломенский проезд, д. 14",1,22
