REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_5
503,64,09801670,1026500000141,503,046423716,2/1/2011,"ЗАО ""Холмсккомбанк""","694620, Сахалинская область, г. Холмск, ул. Победы, 16",Генеральный директор,Тищенко Т.П.,Главный бухгалтер,Дядюн Т.И.,Исполнитель,Антипов А.В.,66-027,26
507,71,09801718,1028900001360,507,047191984,2/1/2011,"ЗАО ""Приполяркомбанк""","629860, Тюменская область, Ямало-Ненецкий авт. округ, Пуровский р-н, пгт. Уренгой,  ул. Попенченко, 3-а",Председатель Правления,Калинина Елена Ивановна,Главный бухгалтер,Седлецкая Елена Евгеньевна,Исполнитель,Иванова О.Ф.,8(34934)9-15-19,15
514,45,09801995,1023600001963,514,044579739,2/1/2011,"ОАО ""АБ Финанс Банк""","127106, г. Москва, ул. Гостиничная, дом 5, корпус 10",Заместитель Председателя Правления,И.В. Москалев,Главный бухгалтер,Е.Д. Парада,Начальник отдела сводной отчетности,С.П. Бубличенко,(495)739-09-03  (доб.97629),15
518,03,09306717,1022300001063,518,040349715,2/1/2011,"Банк ""Первомайский"" (ЗАО)","350020, г. Краснодар, ул. Красная, 139",Председатель Правления,Кулакова Алла Ивановна,Главный бухгалтер,Башкова Наталья Николаевна,Начальник отдела,Забнин А.В.,279-14-45,15
520,03,09801919,1032335000675,520,040326819,2/1/2011,"ООО КБ ""ИСТОК""","352190, Краснодарский край, Гулькевичский район, г. Гулькевичи, ул. Советская,  дом  29А",Председатель Правления,Догадаева Т.С.,Главный бухгалтер,Полянская Р.В.,Начальник отдела экономического анализа,Орлова Л.В.,(86160) 3-34-70,15
524,73,09306769,1027300000166,524,047308813,2/1/2011,"ЗАО Банк ""Венец""","432071, г. Ульяновск, ул. Марата, 19",Председатель Правления,Ендовицкий В.А.,Главный бухгалтер,Лысякова Е.Н.,Начальник ПЭО,Клещ?в М.А.,323874,15
531,45,09306835,1022300001569,531,044585519,2/1/2011,"ООО ""ЕВРОКОМБАНК""","109240, г. Москва, ул. Яузская, д. 12",Председатель Правления,Вежновец Е.В.,И.о. Главного бухгалтера,Попова Н.А.,И.о.Главного бухгалтера,Попова Н.А.,967-77-77,15
532,94,09306841,1021800000177,532,049401825,2/1/2011,"ОАО ""Мобилбанк""","426000, Удмуртская Республика, г.Ижевск,  ул.Свободы, 173",Президент,Мунтян А.В.,Главный бухгалтер,Гусева Т.А.,Ведущий экономист,Лихачева О.С.,908905 (0206),31
533,45,09306858,1027739082425,533,044525831,2/1/2011,"ОАО КБ ""Флора-Москва""","119049,  г. Москва, ул. Донская, д. 4, стр. 3",Председатель Правления,Шутко Сергей Николаевич,Главный бухгалтер,Новикова Елена Владимировна,Заместитель Главного бухгалтера,Еремина Татьяна Викторовна,959-80-91...95 (вн. 161),15
537,71,09306870,1028600002100,537,047169777,2/1/2011,"ЗАО АКБ ""Приобье""","628616, Тюменская область, Ханты-Мансийский автономный округ,  г. Нижневартовск, просп. Победы, 18-а",Зам.Председателя Правления,Е.Ю.Насрулаева,Зам.главного бухгалтера,Е.Е.Елсукова,Начальник отдела учета и отчетности,Л.Ю.Дьячук,(3466)413717,26
538,45,09251548,1026400002012,538,044579771,2/1/2011,"ООО ""Промсельхозбанк""","119048, г. Москва, ул. Усачева, д. 62",Председатель Правления,Воронкова Н.А.,Главный бухгалтер,Мокрушина Т.Б.,"Заместитель начальника отдела бухгалтерского учета, отчетности и планирования",Тумашик Е.М.,499-245-15-62,22
539,08,09271019,1022700000047,539,040813737,2/1/2011,"ОАО ""НОМОС-РЕГИОБАНК""","680000, г. Хабаровск, Амурский бульвар, дом 18","Президент ОАО ""НОМОС-РЕГИОБАНК""",С.Г. Гребенюк,Главный бухгалтер,Т.В. Брещенина,Руководитель группы ЭАиКСН,Щинова Д.Н.,32-74-24,22
543,82,25098388,1020500001422,543,048209769,2/1/2011,"КБСР ""Дагестан"" ООО","367020, Республика Дагестан, г. Махачкала, ул.Даниялова, 12",Председатель Правления банка,Мамаев К. А.,Главный бухгалтер,Гаджиев Р. И.,Заместитель председателя Правления банка,Мамаев В. К.,674625,15
545,30,09275313,1024100000077,545,043002711,2/1/2011,"ОАО ""Камчаткомагропромбанк""","683024, Камчатский край, г.Петропавловск-Камчатский, пр-т 50 Лет Октября, д.5",Первый вице-президент,М.И.Лазарева,Главный бухгалтер,Т.М.Демина,Гл.экономист,Н.П.Грызлова,23-41-77,15
