REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,C2_5
749,82,09121314,1020500000400,749-К,048209861,10/1/2012,"Кизилюртовская РНКО ""Сулак"" ООО","368120,  Республика Дагестан, г.Кизилюрт,  ул.  Гагарина, 105",19
752,89,09188382,1021300001656,752,048952729,10/1/2012,"ОАО КБ ""МПСБ""","430005, г.Саранск, ул.Б.Хмельницкого, 36-а",20
766,40,09306321,1033501068941,766,044030807,10/1/2012,"АКБ ""Северо-Западный 1 Альянс Банк"" ОАО","191123, г. Санкт-Петербург, ул. Радищева, д. 39, лит. Д",25
777,28,09131011,1026900001765,777,042809707,10/1/2012,"ОАО ""Тверьуниверсалбанк""","170100, г.Тверь, ул.Володарского, 34",30
779,07,09231190,1022600000114,779,040724712,10/1/2012,"ООО ""РУСБС""","357350, Ставропольский край, Предгорный район, ст. Ессентукская, ул. Гагарина, 148",25
783,08,09271054,1022700000685,783,040825773,10/1/2012,"ОАО ""Роял Кредит Банк""","681000,  Хабаровский край, г.Комсомольск-на-Амуре, ул.Партизанская,15",25
784,57,09185544,1025900000488,784,045773764,10/1/2012,"ОАО АКБ ""Перминвестбанк""","614010, г. Пермь, Комсомольский проспект, 80",24
790,03,09801931,1022300003186,790,040313716,10/1/2012,"ОАО ""Геленджик-Банк""","353460, Краснодарский край, г. Геленджик, ул. Островского, 31",29
793,82,49192608,1020500000443,793,048209748,10/1/2012,"ООО КБ ""КРЕДО ФИНАНС""","367029, Республика Дагестан, г.Махачкала, ул.С.М. Абубакарова, 115",19
804,49,09316087,1025300000175,804,044959775,10/1/2012,"ЗАО ""НКБ ""СЛАВЯНБАНК""","173004  Новгородская обл., г.Великий Новгород, ул.Черемнова-Конюхова, д.12",20
812,65,09253642,1026600001779,812,046551767,10/1/2012,"ОАО ""Уралтрансбанк""","620027, г.Екатеринбург, ул. Мельковская, 2 ""Б""",20
817,92,09265674,1021600000586,817,049205772,10/1/2012,"АКБ ""Заречье"" (ОАО)","420032, г.Казань, ул.Лукницкого, д.2",20
825,98,09287316,1021400001292,825,049849762,10/1/2012,"НКБ ""Нерюнгрибанк"" (ООО)","678960, Республика Саха (Якутия), г. Нерюнгри, проспект Дружбы народов, 29/4",26
826,01,09316294,1022200529537,826,040173749,10/1/2012,"ООО ""КБ ""Тальменка-банк""","656037, Алтайский край, г.Барнаул, пр.Ленина, 156-а",20
836,73,09790127,1027300534690,836,047311818,10/1/2012,"ЗАО ""РКБ""","433508, Ульяновская область, г. Димитровград, ул. Самарская, дом 4",20
840,79,09143050,1020100001899,840,047908700,10/1/2012,"ОАО АКБ ""Новация""","385011, Республика Адыгея,г.Майкоп, ул.Димитрова, д.4, корпус 1",20
841,79,09143043,1020100002340,841,047908749,10/1/2012,"ООО ""Банк Стандарт-Кредит""","385301, Республика Адыгея, с.Красногвардейское, ул.Мира, 173a",20
842,37,09153403,1024500000392,842,043735821,10/1/2012,"ООО КБ ""Кетовский""","641310, Курганская область, с.Кетово, ул.Красина, 19",26
843,05,09241018,1022500000786,843,040507705,10/1/2012,"ОАО ""Дальневосточный банк""","690990, г.Владивосток, ул. Верхнепортовая, 27-а",25
854,98,13138480,1021400001040,854,049853792,10/1/2012,"АБ ""Алданзолотобанк"" ОАО","678900, Республика Саха (Якутия), г. Алдан, улица 10 лет Якутии ,31-а",20
857,64,09316609,1026500538240,857,046401727,10/1/2012,"КБ ""Долинск"" (ЗАО)","693007, Сахалинская область, г. Южно-Сахалинск, пр. Мира, 119-а",20
860,04,09144261,1022400010005,860,040452720,10/1/2012,"КБ ""Канский"" ООО","663600, Красноярский край, г. Канск, ул.Власть Советов, 1",30
865,07,09231132,1022600000037,865-К,040714745,10/1/2012,"НКО ""Ассигнация"" ООО","356630, Ставропольский край, г.Ипатово, ул.Гагарина, 67",20
870,17,09109299,1023300000052,870,041708708,10/1/2012,"ООО ""Владпромбанк""","600020, г.Владимир, ул. Большая Нижегородская, д.9",30
874,83,09128115,1020700000617,874,048341752,10/1/2012,"Банк ""Прохладный"" ООО","361045, Кабардино-Балкарская республика, г.  Прохладный, ул.Ленина, 115",20
875,57,09185461,1025900000510,875,045773756,10/1/2012,"ОАО АКБ ""Пермь""","614000, г. Пермь,  ул. Куйбышева, 10",20
880,71,09268709,1028600001770,880,047169779,10/1/2012,"ОАО АКБ ""ЮГРА""","628684, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Мегион, проспект Победы, 8/1",26
889,92,09265763,1021600000597,889,049209778,10/1/2012,"""АНКОР БАНК"" (ОАО)","420101, г.Казань, ул. Братьев Касимовых, 47",20
901,19,09108414,1023500002404,901,041946747,10/1/2012,"ОАО ""Меткомбанк""","162623, Вологодская обл., г.Череповец, ул. Краснодонцев, 57А",26
902,33,09136304,1024300004739,902,043304728,10/1/2012,"АКБ ""Вятка-банк"" ОАО","610000, г.Киров, ул. Энгельса, 4",29
903,17,09109307,1023300000063,903,041708706,10/1/2012,"ЗАО ""Владбизнесбанк""","600015, г.Владимир, пр-т Ленина,35",30
912,45,09317135,1027739179160,912,044525600,10/1/2012,"ОАО ""МИнБ""","115419,  г. Москва, ул.Орджоникидзе, д.5",30
